"gr_low","gr_high","rpm","power_a"
1.31,1.49,1550,4.82
1.31,1.49,1600,4.98
1.31,1.49,1650,5.13
1.31,1.49,1700,5.29
1.31,1.49,1750,5.44
1.31,1.49,1800,5.6
1.31,1.49,1850,5.76
1.31,1.49,1900,5.91
1.31,1.49,1950,6.07
1.49,10,50,0.17
1.49,10,100,0.35
1.49,10,150,0.52
1.49,10,200,0.7
1.49,10,250,0.87
1.49,10,300,1.05
1.49,10,350,1.22
1.49,10,400,1.4
1.49,10,435,1.52
1.49,10,450,1.57
1.49,10,485,1.7
1.49,10,500,1.75
1.49,10,550,1.92
1.49,10,575,2.01
1.49,10,600,2.1
1.49,10,650,2.27
1.49,10,690,2.41
1.49,10,700,2.45
1.49,10,725,2.54
1.49,10,750,2.62
1.49,10,800,2.8
1.49,10,850,2.97
1.49,10,870,3.04
1.49,10,900,3.15
1.49,10,950,3.32
1.49,10,950,3.32
1.49,10,1000,3.5
1.49,10,1050,3.67
1.49,10,1100,3.85
1.49,10,1150,4.02
1.49,10,1160,4.06
1.49,10,1200,4.2
1.49,10,1250,4.37
1.49,10,1300,4.55
1.49,10,1350,4.72
1.49,10,1400,4.9
1.49,10,1450,5.07
1.49,10,1500,5.25
1.49,10,1550,5.42
1.49,10,1600,5.6
1.49,10,1650,5.77
1.49,10,1700,5.95
1.49,10,1750,6.12
1.49,10,1800,6.3
1.49,10,1850,6.47
1.49,10,1900,6.65
1.49,10,1950,6.82
